"opportunity_id","opportunity_name","category","opportunity_code","tracking_questions"
"Opportunity#00000000100TMTVF60K2S9DAGW","Reflection Reports – Documenting Your Growth","Engagement","NLW8C9O","[{""code"": ""QQA92B2"", ""ans_type"": ""boolean"", ""question"": ""Submitted Deliverables"", ""is_frozen"": ""false"", ""serial_number"": ""1"", ""is_required_for_badge_award"": ""true""}, {""code"": ""Team"", ""ans_type"": ""string"", ""question"": ""Group Info"", ""is_frozen"": ""false"", ""serial_number"": ""0"", ""is_required_for_badge_award"": ""false""}, {""code"": ""Q7U2A9O"", ""ans_type"": ""string"", ""question"": ""Additional Notes"", ""is_frozen"": ""false"", ""serial_number"": ""1"", ""is_required_for_badge_award"": ""false""}]"
"Opportunity#00000000107KEQYW6W3D8QD97D","Relationship Associate","Career","AC6V5PO","[{""code"": ""QIHK1KU"", ""ans_type"": ""boolean"", ""question"": ""Has the candidate performed consistently?"", ""is_frozen"": ""false"", ""serial_number"": ""1"", ""is_required_for_badge_award"": ""false""}, {""code"": ""Team"", ""ans_type"": ""string"", ""question"": ""Group Info"", ""is_frozen"": ""false"", ""serial_number"": ""0"", ""is_required_for_badge_award"": ""false""}, {""code"": ""QCWLEUQ"", ""ans_type"": ""string"", ""question"": ""Additional Notes"", ""is_frozen"": ""false"", ""serial_number"": ""1"", ""is_required_for_badge_award"": ""false""}]"
"Opportunity#00000000104S4KCDCQ5VTDZB90","Digital Detox Challenge","Competition","MKTIZ9S","[{""code"": ""QPFC0MB"", ""ans_type"": ""boolean"", ""question"": ""Submitted Assingment"", ""is_frozen"": ""false"", ""serial_number"": ""1"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QN751C2"", ""ans_type"": ""boolean"", ""question"": ""Submitted Reflective video"", ""is_frozen"": ""false"", ""serial_number"": ""2"", ""is_required_for_badge_award"": ""true""}, {""code"": ""Team"", ""ans_type"": ""string"", ""question"": ""Group Info"", ""is_frozen"": ""false"", ""serial_number"": ""0"", ""is_required_for_badge_award"": ""false""}, {""code"": ""Q8RFA62"", ""ans_type"": ""string"", ""question"": ""Additional Notes"", ""is_frozen"": ""false"", ""serial_number"": ""1"", ""is_required_for_badge_award"": ""false""}]"
"Opportunity#000000000GCTJ4F7QXJWWMBDGH","Major and Career Exploration Workshop ","Event","E352968",NULL
"Opportunity#000000000GDD59YDSJCXA2H46X","Entrepreneurship and Innovation","Internship","I252028",NULL
"Opportunity#000000000G127E8VYE08TXBT6X","Choosing and Planning for Your Major","Event","E501873",NULL
"Opportunity#0000000010G3J8A7J22BZKCXR8","Complete a Mock Interview","Engagement","N7YYI7O",NULL
"Opportunity#00000000106CWKT5MTTRS1NB41","Electrostatic Discharge Virtual Internship","Internship","ILBR9DW","[{""code"": ""QEOOLU2"", ""ans_type"": ""boolean"", ""question"": ""Submitted Deliverables ?"", ""is_frozen"": ""false"", ""serial_number"": ""1"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QQKI9PN"", ""ans_type"": ""boolean"", ""question"": ""Submitted Reflective Video ?"", ""is_frozen"": ""false"", ""serial_number"": ""2"", ""is_required_for_badge_award"": ""true""}, {""code"": ""Team"", ""ans_type"": ""string"", ""question"": ""Group Info"", ""is_frozen"": ""false"", ""serial_number"": ""0"", ""is_required_for_badge_award"": ""false""}, {""code"": ""QKA059R"", ""ans_type"": ""string"", ""question"": ""Additional Notes"", ""is_frozen"": ""false"", ""serial_number"": ""1"", ""is_required_for_badge_award"": ""false""}]"
"Opportunity#00000000104SZ1BFR638P058YP","Business Development Virtual Internship ","Internship","IL06G6K","[{""code"": ""QHCUKN2"", ""ans_type"": ""boolean"", ""question"": "">=90% average score (Manager+Self+Peer) to be eligible for star performer"", ""is_frozen"": ""true"", ""serial_number"": ""-1"", ""is_required_for_badge_award"": ""true""}, {""code"": ""Q5BX47I"", ""ans_type"": ""boolean"", ""question"": ""Team Number"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""false""}, {""code"": ""Q2RQ7NB"", ""ans_type"": ""boolean"", ""question"": ""Talent Manager Name"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""false""}, {""code"": ""QSVSM0I"", ""ans_type"": ""boolean"", ""question"": ""Attended Orientation"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""false""}, {""code"": ""QSEBAWY"", ""ans_type"": ""boolean"", ""question"": ""Week 1 Active"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QM5TWWV"", ""ans_type"": ""boolean"", ""question"": ""Week 2 Active"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QITLSYY"", ""ans_type"": ""boolean"", ""question"": ""Week 3 Active"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QTB7HI7"", ""ans_type"": ""boolean"", ""question"": ""Week 4 Active"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QOU4YLT"", ""ans_type"": ""boolean"", ""question"": ""Submitted Feedback Form"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QKE2QZM"", ""ans_type"": ""boolean"", ""question"": ""Submitted Reflective Video"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QR3XELC"", ""ans_type"": ""boolean"", ""question"": ""Submitted Self Evaluation"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QP4R97C"", ""ans_type"": ""boolean"", ""question"": ""Submitted Peer Evaluation"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QHL0J3Z"", ""ans_type"": ""number"", ""question"": ""Communication Score (To be discussed with Department Manager)"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QXO7HJF"", ""ans_type"": ""number"", ""question"": ""Collaboration Score (To be discussed with Department Manager)"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QRA9C6F"", ""ans_type"": ""number"", ""question"": ""Self Motivation & Initiative Score (To be discussed with Department Manager)"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QEI9FW7"", ""ans_type"": ""number"", ""question"": ""Problem Solving Score(To be discussed with Department Manager)"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QWQ40BF"", ""ans_type"": ""number"", ""question"": ""Remote Work Ability Score(To be discussed with Department Manager)"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QIW0QTG"", ""ans_type"": ""boolean"", ""question"": "">=70% peer evaluation score to be eligible for internship completion"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""true""}]"
"Opportunity#00000000107QA346MCS2D7FE69","Money Matters: A Personal Finance Workshop","Event","EIL90NW",NULL
"Opportunity#00000000104T84MQ9B7AKTRBS9","Sustainable Architecture Showdown","Competition","MG68WVK","[{""code"": ""QUE8MRL"", ""ans_type"": ""boolean"", ""question"": ""Submitted Deliverables"", ""is_frozen"": ""false"", ""serial_number"": ""1"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QGK4A49"", ""ans_type"": ""boolean"", ""question"": ""Submitted Feedback and Reflection"", ""is_frozen"": ""false"", ""serial_number"": ""2"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QOIXGZK"", ""ans_type"": ""string"", ""question"": ""Additional Notes"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""false""}]"
"Opportunity#000000000G2PB6VB4ANR28CV2P","The Financial: Article Writing Competition Test","Competition","M523594",NULL
"Opportunity#0000000010XEQWX2NWER3XJ2H6","Resume Booster Workshop","Event","E1I0MQU",NULL
"Opportunity#000000000GWMB3J3P5D1Q81X1Z","Project Management - Test","Internship","I667361",NULL
"Opportunity#000000000GYFQZEMS8Z53HMPS3","Virtual Internship Facilitator","Career","A209733",NULL
"Opportunity#000000000GYPPN3KCCP6VGV4PY","Elevate Pledge Test","Event","E222478",NULL
"Opportunity#000000000GZKMJYENG510PPMBN","Humanizing Technology: An Introduction to User Experience  In-person","Event","E163868",NULL
"Opportunity#000000000G4AM4J9NBMPK3TJH6","Entrepreneurship and Innovation","Internship","I289641",NULL
"Opportunity#000000000G95BD07NB0181K0XD","Data Visualization","Internship","I660879",NULL
"Opportunity#000000000GBZ5VRTC3YS9T716N","Data Visualization","Internship","I755008",NULL
"Opportunity#000000000GCKFV5K6Q8FWGFHC0","Choosing and Planning for Your Major + Career Exploration Workshops  In-person","Event","E189319",NULL
"Opportunity#00000000104VSYRJ7511TSS1BF","Digital Marketing Virtual Internship","Internship","INX3D9P","[{""code"": ""Q2LNH2C"", ""ans_type"": ""boolean"", ""question"": ""Submitted Reflection Video and Feedback Form"", ""is_frozen"": ""false"", ""serial_number"": ""2"", ""is_required_for_badge_award"": ""true""}, {""code"": ""Q0PE2TY"", ""ans_type"": ""boolean"", ""question"": ""Submitted all 4 week Deliverables"", ""is_frozen"": ""false"", ""serial_number"": ""1"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QUOTYO7"", ""ans_type"": ""string"", ""question"": ""Additional Notes"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""false""}]"
"Opportunity#0000000010YMB80KRNNJYAVQ7V","Upload Your First Year Transcript","Engagement","NQX07I1","[{""code"": ""QUJT3GV"", ""ans_type"": ""boolean"", ""question"": ""Transcript Submitted"", ""is_frozen"": ""false"", ""serial_number"": ""1"", ""is_required_for_badge_award"": ""true""}]"
"Opportunity#000000000GGJG260YZ8XEWZVW1","Digital Marketing","Internship","I127098",NULL
"Opportunity#000000000GH4BAHF58NTZC0489","Million Dollar Idea","Competition","M584683",NULL
"Opportunity#000000000GHGN3NG584M44MK40","Slide Geeks: A Presentation Design Competition","Competition","M429108",NULL
"Opportunity#000000000GHXFZ9DEH0TDCZPF5","Junior Pumpkin Launch  In-person","Competition","M103449",NULL
"Opportunity#000000000GKZ7RSWWZA14JDC6N","Major and Career Exploration Workshop  Virtual","Event","E296277",NULL
"Opportunity#000000000GM6HGM7M067WVTTZN","Virtual Internship Facilitator Test","Career","A833703",NULL
"Opportunity#000000000GP445J27EFRWEVVF4","Digital Marketing","Internship","I500671",NULL
"Opportunity#000000000GR9GEA9CSJ66P2FTT","Analytics of all Industries - Test","Course","U229811",NULL
"Opportunity#000000000GSC2DE9P9BZYJM2JN","Project Management","Internship","I161301",NULL
"Opportunity#000000000GSCBSEBAWJJ9GB4AJ","Cybersecurity: Defensive Hacking","Internship","I207753",NULL
"Opportunity#0000000010DJYCA5YB3RNN67H9","Talent Operations Associate","Career","ATF3V9O","[{""code"": ""Q6G026L"", ""ans_type"": ""boolean"", ""question"": ""Was the candidate consistent in his performance"", ""is_frozen"": ""false"", ""serial_number"": ""1"", ""is_required_for_badge_award"": ""false""}, {""code"": ""Team"", ""ans_type"": ""string"", ""question"": ""Group Info"", ""is_frozen"": ""false"", ""serial_number"": ""0"", ""is_required_for_badge_award"": ""false""}, {""code"": ""Q0ZQZVO"", ""ans_type"": ""string"", ""question"": ""Additional Notes"", ""is_frozen"": ""false"", ""serial_number"": ""1"", ""is_required_for_badge_award"": ""false""}]"
"Opportunity#000000000GT8HCVB01AE6QEP8Y","Life Beyond Saint Louis University27s Campus","Event","E522635",NULL
"Opportunity#000000001099PVPZSGE2SCWRN5","University Operations Associate (Full Time)","Career","AUCX0B3",NULL
"Opportunity#00000000109XS2QMYJSVW5JRD8","Empowered: A Mindfulness and Emotional Intelligence Workshop","Event","ER044NC",NULL
"Opportunity#00000000109Z0S9FT3TZW0JCBH","Million Dollar Idea","Competition","M3NLCKG",NULL
"Opportunity#0000000010T629FTS86Z2VDCMG","Leadership Launchpad","Event","EBAQP7G",NULL
"Opportunity#0000000010BMY7SHGNSK6XNJ5Q","Campus Recruitment Fair","Event","E43TTXF",NULL
"Opportunity#0000000010DCSM71JHK7WD6F3R","Epidemiology Training Internship","Internship","I5ABAG8",NULL
"Opportunity#0000000010DHS82CTWN25C2R63","DevOps Intern ","Career","AJSS64F",NULL
"Opportunity#0000000010DVFPHZH5RBWPYV84","Info Innovators Challenge: An Infographic Design Contest","Competition","MGJMET5",NULL
"Opportunity#0000000010EYY8NM6HJ12D6SR5","Linked Up: The LinkedIn Makeover Workshop","Event","EVS0XE9",NULL
"Opportunity#0000000010F82GYDX7VRD98PSY","Diversity, Equity and Inclusion Workshop","Event","E96ABYJ",NULL
"Opportunity#0000000010YQKYMRYTT3H8PSPD","University Operations Associate (Part Time)","Career","ALO40YE",NULL
"Opportunity#0000000010KT8TC496GT1NVXPV","Operations Intern","Career","A9Q15OS",NULL
"Opportunity#0000000010RVQ9RQKZ2P2XSZDV","Graphic Design Intern","Career","AVCVHR9",NULL
"Opportunity#0000000010RZJKNB3MC85A9EAR","Global Logistics Mini Project","Internship","I3SKSQ6",NULL
"Opportunity#0000000010S6HVRKZDAM90C0F8","Startup Mastery Workshop","Event","E8P2KOJ",NULL
"Opportunity#0000000010S92PZ90FF33Z8QA5","Changemakers Challenge","Competition","MS2DJVA",NULL
"Opportunity#0000000010W6XK8NTCH89Z3E4K","Digital Palette: A Global T-shirt Design Competition","Competition","MAZ52HC",NULL
"Opportunity#0000000010ZKNWGJ45840TGRJW","Cybersecurity: Defensive Hacking","Internship","I710882",NULL
"Opportunity#00000000106FMJNZK5SVQ9PW35","Resilient Communities Challenge: Thrive Together","Competition","MGIK3RO","[{""code"": ""QSL99CU"", ""ans_type"": ""boolean"", ""question"": ""Submission: Deliverable "", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""true""}, {""code"": ""Q2PRXKC"", ""ans_type"": ""boolean"", ""question"": ""Submission: Feedback Form"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QIIEQRG"", ""ans_type"": ""boolean"", ""question"": ""Submission: Reflection Video"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""true""}, {""code"": ""Q57KAPU"", ""ans_type"": ""string"", ""question"": ""Additional Notes"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""false""}]"
"Opportunity#00000000106TFSAJKDBX40ZGNV","UrbanRenew Challenge","Competition","MO6ICDB","[{""code"": ""QFWKWDM"", ""ans_type"": ""boolean"", ""question"": ""Submitted Deliverable"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QBRIOYX"", ""ans_type"": ""boolean"", ""question"": ""Submitted Reflection"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QDSGJHV"", ""ans_type"": ""boolean"", ""question"": ""Submitted Feedback"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QTSNAPL"", ""ans_type"": ""string"", ""question"": ""Additional Notes"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""false""}]"
"Opportunity#00000000106YSVYZ2WNJ29PZZN","Mastering LinkedIn for Career Advancement","Course","UJF7XGO","[{""code"": ""Q4M788D"", ""ans_type"": ""boolean"", ""question"": ""All delieverables submitted"", ""is_frozen"": ""false"", ""serial_number"": ""1"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QBVIO0C"", ""ans_type"": ""boolean"", ""question"": ""Feedback and Reflection Submitted"", ""is_frozen"": ""false"", ""serial_number"": ""2"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QID2ZYR"", ""ans_type"": ""string"", ""question"": ""Additional Notes"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""false""}]"
"Opportunity#00000000107DT690M8FCRX5A3S","Graphic Design Associate","Career","ATK71AK","[{""code"": ""Q546OEG"", ""ans_type"": ""boolean"", ""question"": ""Has the candidate performed his duties to the best of his ability as a graphic designer?"", ""is_frozen"": ""false"", ""serial_number"": ""1"", ""is_required_for_badge_award"": ""false""}, {""code"": ""Team"", ""ans_type"": ""string"", ""question"": ""Group Info"", ""is_frozen"": ""false"", ""serial_number"": ""0"", ""is_required_for_badge_award"": ""false""}, {""code"": ""QW3QYPE"", ""ans_type"": ""string"", ""question"": ""Additional Notes"", ""is_frozen"": ""false"", ""serial_number"": ""1"", ""is_required_for_badge_award"": ""false""}]"
"Opportunity#0000000010864WVF3E9R3CXVDW","AI in Health Care","Competition","M9S5RH3","[{""code"": ""QZROZTJ"", ""ans_type"": ""boolean"", ""question"": ""Submitted Deliverables"", ""is_frozen"": ""false"", ""serial_number"": ""1"", ""is_required_for_badge_award"": ""true""}, {""code"": ""Q7TWJTQ"", ""ans_type"": ""boolean"", ""question"": ""Submitted Reflection and Feedback Form"", ""is_frozen"": ""false"", ""serial_number"": ""2"", ""is_required_for_badge_award"": ""true""}, {""code"": ""Q27TN55"", ""ans_type"": ""string"", ""question"": ""Additional Notes"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""false""}]"
"Opportunity#00000000108CRVV6WHDZN7G0H8","Aeroflow Challenge","Competition","M6DZAHD","[{""code"": ""Q6GMNA2"", ""ans_type"": ""boolean"", ""question"": ""Submission: Deliverable"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""true""}, {""code"": ""Q7Z1QIH"", ""ans_type"": ""boolean"", ""question"": ""Submission: Feedback Form"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QX7DGTF"", ""ans_type"": ""boolean"", ""question"": ""Submission: Reflection Video "", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QMSYA8W"", ""ans_type"": ""string"", ""question"": ""Additional Notes"", ""is_frozen"": ""false"", ""is_required_for_badge_award"": ""false""}]"
"Opportunity#0000000010T488998MJ34E81AH","Public Speaking Workshop - Crafting and Delivering Persuasive Speeches","Event","E1J7BBW","[{""code"": ""QPLRYBO"", ""ans_type"": ""boolean"", ""question"": ""Submitted deliverables ?"", ""is_frozen"": ""false"", ""serial_number"": ""1"", ""is_required_for_badge_award"": ""true""}, {""code"": ""QTRPXMB"", ""ans_type"": ""boolean"", ""question"": ""Submitted Reflective Video ?"", ""is_frozen"": ""false"", ""serial_number"": ""2"", ""is_required_for_badge_award"": ""true""}, {""code"": ""Team"", ""ans_type"": ""string"", ""question"": ""Group Info"", ""is_frozen"": ""false"", ""serial_number"": ""0"", ""is_required_for_badge_award"": ""false""}, {""code"": ""QVM6F9O"", ""ans_type"": ""string"", ""question"": ""Additional Notes"", ""is_frozen"": ""false"", ""serial_number"": ""1"", ""is_required_for_badge_award"": ""false""}]"
